gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22300188,1610612752,New York,Knicks,NYK,knicks,240.000000:00,98,39,15,24,13,0,11,26,3,2,5,7,4,10,8,11
22300026,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,134,71,38,33,18,0,16,42,1,1,2,0,0,0,0,0
22300026,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,107,46,26,20,16,1,7,19,5,2,7,1,0,1,1,1
22300025,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,101,44,30,14,18,3,10,24,2,4,6,1,6,7,3,7
22300025,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,104,41,23,18,11,0,3,7,4,2,6,3,5,8,7,8
22300024,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,111,36,24,12,11,1,7,16,2,3,5,3,4,7,5,7
22300024,1610612746,LA,Clippers,LAC,clippers,240.000000:00,108,30,19,11,26,1,10,21,5,3,8,2,4,6,3,6
22300023,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,115,56,34,22,13,1,12,29,1,5,6,3,8,11,4,11
22300023,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,99,61,30,31,15,0,7,16,3,2,5,2,4,5,1,6
22300022,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,131,51,29,22,25,0,13,28,6,2,8,1,10,9,2,11
22300022,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,110,53,29,24,13,0,9,19,4,2,6,1,11,12,6,12
22300021,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,123,59,39,20,27,0,15,33,2,6,8,0,16,16,10,16
22300021,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,87,60,40,20,11,0,9,19,4,3,7,2,8,10,6,10
22300020,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,124,42,22,20,22,0,10,22,1,5,6,3,8,9,5,11
22300020,1610612753,Orlando,Magic,ORL,magic,240.000000:00,104,50,25,25,12,0,11,27,6,3,9,2,8,10,4,10
22300019,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,126,45,23,22,4,0,8,18,2,3,5,0,8,6,4,8
22300019,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,132,45,32,13,14,1,10,25,3,8,11,0,2,2,1,2
